block,description,register,level,occurrence
0,Abertura do Arquivo Digital e Identificação da entidade,0000,0,1
0,Abertura do Bloco 0,0001,1,1
0,Classificação do Estabelecimento Industrial ou Equiparado a Industrial,0002,2,1
0,Dados Complementares da entidade,0005,2,1
0,Dados do Contribuinte Substituto ou Responsável pelo ICMS Destino,0015,2,V
0,Dados do Contabilista,0100,2,1
0,Tabela de Cadastro do Participante,0150,2,V
0,Alteração da Tabela de Cadastro de Participante,0175,3,1:N
0,Identificação das unidades de medida,0190,2,V
0,Tabela de Identificação do Item (Produtos e Serviços),0200,2,V
0,Alteração do Item,0205,3,1:N
0,Código de produto conforme Tabela ANP,0206,3,1:1
0,Consumo Específico Padronizado,0210,3,1:N
0,Fatores de Conversão de Unidades,0220,3,1:N
0,Correlação entre códigos de itens comercializados,0221,3,1:N
0,Cadastro de bens ou componentes do Ativo Imobilizado,0300,2,V
0,Informação sobre a Utilização do Bem,0305,3,1:1
0,Tabela de Natureza da Operação/ Prestação,0400,2,V
0,Tabela de Informação Complementar do documento fiscal,0450,2,V
0,Tabela de Observações do Lançamento Fiscal,0460,2,V
0,Plano de contas contábeis,0500,2,V
0,Centro de custos,0600,2,V
0,Encerramento do Bloco 0,0990,1,1
B,Abertura do Bloco B,B001,1,1
B,"Nota Fiscal (código 01), Nota Fiscal de Serviços (código 03), Nota Fiscal de Serviços Avulsa (código 3B), Nota Fiscal de Produtor (código 04), Conhecimento de Transporte Rodoviário de Cargas (código 08), NF-e (código 55) e NFC-e (código 65)",B020,2,V
B,Detalhamento por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003,B025,3,1:N
B,Nota Fiscal de Serviços Simplificada (código 3A),B030,2,V
B,Detalhamento por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003,B035,3,1:N
B,Serviços prestados por instituições financeiras,B350,2,V
B,Totalização dos valores de serviços prestados por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003,B420,2,V
B,Totalização dos valores retidos,B440,2,V
B,Deduções do ISS,B460,2,V
B,Apuração do ISS,B470,2,1
B,Apuração do ISS sociedade uniprofissional,B500,2,1
B,Uniprofissional - empregados e sócios,B510,3,V
B,Encerramento do Bloco B,B990,1,1
C,Abertura do Bloco C,C001,1,1
C,"Documento - Nota Fiscal (código 01), Nota Fiscal Avulsa (código 1B), Nota Fiscal de Produtor (código 04), Nota Fiscal Eletrônica (código 55) e Nota Fiscal Eletrônica para Consumidor Final (código 65)",C100,2,V
C,Informação complementar dos documentos fiscais quando das operações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (código 55),C101,3,1:1
C,Operações com ICMS ST recolhido para UF diversa do destinatário do documento fiscal (Código 55),C105,3,1:1
C,"Complemento de Documento - Informação Complementar da Nota Fiscal (código 01, 1B, 55)",C110,3,1:N
C,Complemento de Documento - Processo referenciado,C111,4,1:N
C,Complemento de Documento - Documento de Arrecadação Referenciado,C112,4,1:N
C,Complemento de Documento - Documento Fiscal Referenciado,C113,4,1:N
C,Complemento de Documento - Cupom Fiscal Referenciado,C114,4,1:N
C,"Local de coleta e/ou entrega (CÓDIGOS 01, 1B e 04)",C115,4,1:N
C,Cupom Fiscal Eletrônico - CF-e referenciado,C116,4,1:N
